Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr15	83106837	83107270	434	5	Shore;Island	Flanking Active TSS;Active TSS	Active TSS	TM6SF1	-0.0073	-0.00232	0.000388994371391037	2.28772247136246e-08	6.67597201336233e-09
chr1	1614234	1614650	417	5	Shore	Flanking Active TSS	Flanking Active TSS	RP11-345P4.9;MIB2	-0.0077	-0.0028	5.70633615824501e-05	8.10861993257703e-10	6.67783463777662e-09
chr1	30761046	30761589	544	2	Open sea	Bivalent Enhancer;Enhancers	Weak transcription;Enhancers	PUM1;LAPTM5	0.0076	0.0062	2.30891643511588e-09	1.70646278674659e-05	6.68956890974032e-09
chr8	2065966	2066292	327	2	Open sea	Transcr. at gene 5' and 3';Genic enhancers	Genic enhancers	MYOM2	-0.0101	-0.0066	1.97224309599055e-07	6.97108570963486e-09	6.6954758305671e-09
chr3	33716400	33716530	131	2	Shore	Enhancers	Flanking Active TSS	CLASP2	-0.0067	-0.00345	0.000583193102038282	6.19394399796898e-10	6.71365592574012e-09
chr16	89530700	89531050	351	4	Shelf;Open sea	Genic enhancers	Strong transcription;Genic enhancers	SPG7	-0.0053	-0.002725	9.40036524743353e-08	1.68825248294647e-05	6.73421947203962e-09
chr12	121858773	121859895	1123	7	Open sea	Enhancers	Enhancers;Flanking Active TSS	HPD	-0.0046	-0.00162857142857143	3.67218812134323e-08	1.29451245317241e-05	6.74316735852672e-09
chr17	81934537	81935359	823	6	Shore;Island	Weak transcription	Weak transcription;Strong transcription	PYCR1	-0.0091	-0.0021	4.17719816718088e-06	1.4413500233552e-08	6.74845274083397e-09
chr19	10259773	10260243	471	3	Open sea	Strong transcription	Weak transcription	MRPL4;CTD-2369P2.4;CTD-2369P2.5	-0.0075	-0.00196666666666667	0.00122247268338315	1.22369699985743e-10	6.75451145839344e-09
chr8	65989067	65989596	530	2	Open sea	Quiescent/Low	Quiescent/Low		0.0048	0.0047	3.07335265141995e-09	3.22585711081224e-06	6.75804140051709e-09
chr13	112721533	112721695	163	2	Open sea	Weak transcription	Weak transcription	ATP11A	0.0053	0.0053	2.80920972453658e-09	4.87266212204254e-06	6.7656409809686e-09
chr3	4980456	4981708	1253	5	Island;Shore	Transcr. at gene 5' and 3'	Active TSS;Transcr. at gene 5' and 3'	BHLHE40;BHLHE40-AS1	-0.01	-0.00474	2.80155656455113e-06	2.72280688602538e-05	6.7833051800927e-09
chr1	11151216	11152341	1126	6	Open sea	Genic enhancers;Enhancers	Weak transcription	RNU6-537P;MTOR	0.0047	0.00383333333333333	9.18982355293141e-09	0.00131582776802134	6.82780616800232e-09
chr7	127587534	127587802	269	2	Shore;Island	Weak transcription;Flanking Active TSS	Weak transcription;Flanking Active TSS	ARF5;GCC1	0.0054	0.00195	5.55946622539898e-06	1.35802979789868e-09	6.83368525941476e-09
chr5	172685827	172687362	1536	6	Shore;Island	Genic enhancers	Enhancers;Weak transcription	NEURL1B	0.0055	0.00326666666666667	6.14243500408248e-10	0.000804733051373375	6.83425236953311e-09
chr15	74024680	74025438	759	3	Shore;Shelf	Genic enhancers	Genic enhancers	STOML1;PML	0.0047	0.00316666666666667	1.66774627887343e-07	1.85240592290099e-06	6.83790381528616e-09
chr20	3712510	3712573	64	3	Open sea	Weak Repressed PolyComb	Weak transcription		0.0041	0.00316666666666667	2.76914811515433e-08	7.81712880867357e-07	6.84000035240942e-09
chr17	79027024	79027183	160	2	Shelf	Enhancers	Enhancers;Flanking Active TSS	C1QTNF1;C1QTNF1-AS1	0.0052	0.0051	2.45716439179534e-09	1.29634462176103e-05	6.89440024663563e-09
chr2	286829	287759	931	9	Shore;Island	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Repressed PolyComb;Flanking Bivalent TSS/Enh	FAM150B;AC079779.4	0.006	0.00264444444444444	2.83281170862979e-07	1.98308029490844e-05	6.91768060068963e-09
chr12	3236223	3236654	432	2	Open sea	Enhancers	Enhancers	TSPAN9	-0.0065	-0.0022	3.20285857440144e-06	1.67070159613826e-09	6.91968114354437e-09
chr8	48555270	48556552	1283	11	Shore;Island	Enhancers;Active TSS;Flanking Bivalent TSS/Enh	Weak Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	RP11-770E5.1;RP11-567J20.2	0.0048	0.00234545454545455	4.26933557048848e-06	6.19299717542673e-05	6.93112129269142e-09
chr9	98190346	98190552	207	2	Shore	Weak Repressed PolyComb	Weak Repressed PolyComb	CORO2A	0.0072	0.00605	1.6202471770937e-08	9.18258063168127e-08	6.99805638790228e-09
chr5	132370638	132371252	615	2	Shore	Flanking Active TSS;Active TSS	Flanking Active TSS	SLC22A5;AC034220.3	-0.0072	-0.0058	6.07733214668280e-09	5.06154156032187e-07	7.0060179824066e-09
chr1	43957514	43957751	238	2	Open sea	Genic enhancers	Strong transcription;Genic enhancers	IPO13	-0.0043	-0.0042	6.69547520482195e-09	4.22891188659216e-07	7.07477952643647e-09
chr8	122862796	122863659	864	5	Open sea	Genic enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	ZHX2	-0.0085	-0.00336	2.43655717374318e-07	1.56660265399175e-07	7.07764768718431e-09
chr9	128636985	128637036	52	3	Open sea	Enhancers	Weak transcription	WDR34	0.0067	0.00526666666666667	2.11115894956309e-09	2.21863683548269e-05	7.11551290401271e-09
chr19	46917332	46917344	13	3	Open sea	Weak transcription	Weak transcription	ARHGAP35	-0.009	-0.0058	4.11160997933332e-07	1.47684648949712e-08	7.13703571845632e-09
chr1	21937995	21938680	686	3	Shore	Flanking Active TSS	Flanking Active TSS;Enhancers	HSPG2	0.0064	0.00526666666666667	5.22472700237129e-09	2.45424732999326e-06	7.14742879205153e-09
chr14	22838575	22839084	510	2	Shore	Bivalent Enhancer;Flanking Bivalent TSS/Enh	Bivalent/Poised TSS;Flanking Active TSS	MMP14	0.0047	0.00375	4.11920835775598e-09	1.47652236107269e-06	7.17151813295076e-09
chr16	84698995	84699890	896	7	Shore;Island	Weak Repressed PolyComb;Flanking Active TSS;Active TSS	Active TSS;Flanking Active TSS	USP10	-0.0047	-0.00157142857142857	0.00137532012064667	1.36846552663396e-09	7.18482679219027e-09
chr7	28298964	28299170	207	5	Open sea	Quiescent/Low	Quiescent/Low	CREB5	-0.0039	-0.00252	1.6539981291333e-08	0.000203196016119557	7.22802269202135e-09
chr19	45402362	45402897	536	3	Shelf;Shore	Repressed PolyComb;Flanking Bivalent TSS/Enh	Weak Repressed PolyComb;Bivalent Enhancer	PPP1R13L	0.0041	0.0031	5.22049724963911e-09	1.07465800850225e-05	7.23164394579358e-09
chr2	237097168	237098079	912	3	Open sea	Genic enhancers;Enhancers;Flanking Active TSS	Weak transcription;Genic enhancers	COPS8	-0.0065	-0.0039	1.1917050869599e-06	2.01665108334836e-08	7.32511089522304e-09
chr12	51953066	51953399	334	5	Shore	Flanking Active TSS	Flanking Active TSS	ACVR1B	-0.0056	-0.003	4.73090448491351e-07	0.000259319069410765	7.33701230917854e-09
chr10	77821425	77822080	656	6	Open sea	Strong transcription	Strong transcription	DLG5	0.0058	0.00258333333333333	3.63916170209313e-05	6.96177596506823e-10	7.34074810785503e-09
chr7	44963136	44963380	245	3	Island;Shore	Flanking Bivalent TSS/Enh;Bivalent Enhancer	Flanking Bivalent TSS/Enh;Weak Repressed PolyComb	MYO1G	0.0044	0.0038	9.97943049051901e-09	1.07146126197703e-06	7.3482602686925e-09
chr1	151195881	151196191	311	2	Shelf	Weak transcription;Flanking Active TSS	Active TSS	VPS72	-0.0075	-0.0045	2.28912583651075e-05	1.01432379918865e-09	7.35012321846192e-09
chr15	82647170	82648880	1711	19	Island;Shore	Flanking Bivalent TSS/Enh;Flanking Active TSS;Active TSS;Repressed PolyComb	Flanking Bivalent TSS/Enh;Flanking Active TSS;Active TSS;Bivalent/Poised TSS;Repressed PolyComb	CPEB1-AS1;CPEB1	0.0061	0.00245789473684211	2.03272742983198e-06	0.0008494210366955	7.35758487856731e-09
chr12	57203454	57203986	533	2	Island;Shore	Repressed PolyComb	Strong transcription	LRP1	0.0106	0.0068	2.32639998545906e-07	7.17135571420135e-09	7.37321000710525e-09
chr1	231507881	231507923	43	2	Open sea	Enhancers	Enhancers		-0.0096	-0.0073	5.41841513598267e-09	7.69721500739995e-07	7.3735684278122e-09
chr17	66523286	66523824	539	2	Open sea	Enhancers	Enhancers;Flanking Active TSS	PRKCA	-0.0049	-0.00455	5.0177231946097e-09	9.53790651974526e-07	7.4193317200764e-09
chr13	109869608	109870224	617	6	Shore;Island	Flanking Active TSS	Active TSS;Flanking Active TSS		0.0104	0.00608333333333333	1.72075254679764e-09	0.000108423285698881	7.42553797375227e-09
chr6	166625169	166625419	251	2	Shore	Enhancers	Weak transcription	RPS6KA2	0.0062	0.0057	2.62244094603773e-09	1.49767468489938e-05	7.43517180413979e-09
chr10	91612145	91612755	611	3	Open sea	Enhancers	Enhancers;Weak transcription	PPP1R3C	-0.0098	-0.0063	3.85348359732895e-07	9.96343417657072e-09	7.45422134994812e-09
chr1	971584	972327	744	3	Shore	Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer	PLEKHN1	-0.008	-0.00346666666666667	0.00085827454039526	1.44390478485341e-09	7.46792185930459e-09
chr3	194853221	194853704	484	2	Open sea	Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers		-0.0086	-0.0063	4.27371554281908e-09	1.5402167936919e-06	7.47614766559202e-09
chr17	4114298	4114703	406	3	Open sea	Strong transcription	Strong transcription	ZZEF1	-0.0072	-0.00526666666666667	6.9619928603282e-08	1.60444067476316e-07	7.48083505466066e-09
chr22	35809826	35810395	570	3	Open sea	Strong transcription;Weak transcription	Genic enhancers;Weak transcription	RBFOX2	-0.0113	-0.00656666666666667	2.27807454559666e-05	5.52219572022428e-08	7.49780127911940e-09
chr17	72592478	72593304	827	6	Island;Shore	Flanking Bivalent TSS/Enh;Repressed PolyComb	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Repressed PolyComb	LINC00511	0.0048	0.00176666666666667	0.0033214498085761	3.26664895194665e-10	7.52439242278396e-09
chr12	122202627	122204575	1949	13	Shore;Island	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Bivalent Enhancer	B3GNT4;LRRC43	0.0057	0.00281538461538462	3.58916677772408e-07	0.00288068430698367	7.61546145189372e-09
chr3	73580383	73580954	572	2	Open sea	Weak transcription;Enhancers	Enhancers	PDZRN3	-0.0086	-0.0065	1.2451011595997e-08	1.65431117307224e-07	7.63528243423673e-09
chr1	53685159	53685379	221	2	Open sea	Repressed PolyComb	Repressed PolyComb	GLIS1	0.0079	0.00565	1.81353624054804e-08	9.47371062894362e-08	7.6532636943948e-09
chr10	133309283	133310564	1282	10	Island;Shore	Active TSS;Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers;Strong transcription	Active TSS;Flanking Active TSS;Genic enhancers;Strong transcription	TUBGCP2;ZNF511;PRAP1	-0.0064	-1.00000000000001e-05	1.7487692363223e-05	2.45926802528874e-07	7.68283067516183e-09
chr19	1672531	1672539	9	2	Island	Repressed PolyComb	Repressed PolyComb		0.0059	0.00555	2.8816140180511e-09	9.63867054708079e-06	7.694956061022e-09
chr10	24237917	24238999	1083	3	Open sea	Enhancers	Flanking Active TSS;Enhancers	KIAA1217	-0.0088	-0.00596666666666667	1.05459172442647e-08	8.29025490781209e-06	7.72141520936099e-09
chr10	132742749	132743028	280	4	Shore	Weak transcription	Weak transcription	INPP5A	0.008	0.0054	2.28514361025644e-09	2.91019187595624e-05	7.7620149727488e-09
chr1	26279421	26279618	198	4	Shore	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	SH3BGRL3	0.0042	0.00335	2.05488006321304e-09	6.03933341287671e-05	7.76816326958847e-09
chr9	136361279	136361939	661	4	Island;Shore	Weak transcription	Weak transcription	DNLZ;CARD9	0.0061	0.003425	2.37738108903587e-06	1.68973095217325e-08	7.79647098620748e-09
chr12	3336549	3336912	364	4	Open sea	Weak Repressed PolyComb	Quiescent/Low		0.0047	0.003575	7.72165197833061e-09	6.61778844105092e-05	7.79934763977454e-09
chr16	31177079	31177412	334	2	Shelf	Weak Repressed PolyComb	Enhancers;Quiescent/Low		-0.01	-0.0035	1.32996772346221e-06	2.82958398347198e-09	7.81109439326364e-09
chr14	23146941	23147589	649	6	Open sea	Enhancers	Flanking Active TSS;Genic enhancers	SLC7A8;C14orf93;ACIN1;CEBPE	-0.0072	-0.00321666666666667	3.9441285853525e-06	7.59282019751253e-07	7.86902281580549e-09
chr3	9124976	9125620	645	5	Open sea	Weak transcription;Enhancers	Quiescent/Low;Enhancers	SRGAP3	-0.0085	-0.00074	4.19094831984037e-08	0.000156933591577469	7.88922045178221e-09
chr15	78076889	78076959	71	2	Shore	Active TSS	Flanking Active TSS	TBC1D2B;SH2D7	0.0048	0.0043	5.24603405455008e-09	1.05060952541673e-06	7.91548780670217e-09
chr9	121819495	121819876	382	3	Open sea	Enhancers;Weak transcription	Enhancers;Weak transcription	ENSG00000261534;RP11-244O19.1	0.0059	0.0045	6.70799595151271e-08	6.18110982929148e-06	7.97548584725852e-09
chr6	111647168	111647356	189	3	Open sea	Flanking Active TSS	Flanking Active TSS		-0.0055	-0.0043	5.55727335771466e-09	3.87147845283061e-06	8.04158581029788e-09
chr16	85004516	85005768	1253	5	Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	KIAA0513;ZDHHC7	-0.0058	-0.0037	4.7562864288961e-08	0.000441761349227715	8.05278420276073e-09
chr13	112997105	112998705	1601	7	Shore;Shelf	Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer	MCF2L	0.0037	0.00255714285714286	3.19922869110543e-09	9.38965015562597e-05	8.0583683916121e-09
chr17	64130428	64131073	646	5	Island;Shore	Active TSS;Flanking Active TSS;Enhancers	Active TSS;Flanking Active TSS;Quiescent/Low	ERN1	0.0056	0.00282	2.50187865340996e-07	3.15164499273157e-06	8.06780407748806e-09
chr12	107645791	107646078	288	3	Open sea	Enhancers	Weak Repressed PolyComb	BTBD11	0.005	0.0035	2.28241343132779e-06	2.68090377126732e-09	8.12802692661346e-09
chr1	12615772	12617082	1311	5	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	DHRS3	-0.0059	-0.00372	6.02355462442022e-07	1.47227192949144e-05	8.13061380344218e-09
chr17	9465372	9465477	106	2	Open sea	Quiescent/Low	Quiescent/Low	RP11-565F19.4;AC087501.1;STX8	0.0072	0.0068	2.83384778313869e-09	1.88786686111836e-05	8.17363058861125e-09
chr19	1872702	1872766	65	2	Island	Enhancers	Enhancers	LOC100288123;ABHD17A;ENSG00000261526	0.0066	0.00485	6.82358893171459e-09	6.15368537757457e-07	8.19044624541659e-09
chr18	47247616	47247682	67	2	Island	Repressed PolyComb	Weak Repressed PolyComb	SKOR2	0.0056	0.0047	1.77563243364328e-08	1.12844422651174e-07	8.19246845445011e-09
chr6	165710947	165711070	124	3	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	PDE10A	0.0049	0.004	2.93787440083308e-09	6.86950889600522e-05	8.22622364126477e-09
chr5	171423015	171423138	124	2	Shore;Shelf	Weak Repressed PolyComb	Quiescent/Low	FGF18	0.0072	0.0041	2.86467286287905e-05	1.10407319907177e-09	8.24194706330097e-09
chr6	63806299	63806716	418	2	Open sea	Enhancers;Quiescent/Low	Enhancers;Quiescent/Low	RP11-59D5__B.2;EYS	-0.0116	-0.0076	2.29445329530527e-07	8.61549356066914e-09	8.27307756590956e-09
chr8	48912855	48913085	231	2	Shore;Shelf	Quiescent/Low	Quiescent/Low	RP11-22C8.1	-0.0091	-0.0052	5.68601558707571e-05	9.84087999348721e-10	8.31481352894548e-09
chr12	31369317	31370114	798	6	Open sea	Quiescent/Low;Enhancers;Flanking Active TSS	Weak transcription;Flanking Active TSS;Active TSS	RP11-771K4.1	0.0054	0.0014	1.79265740607611e-05	3.13562377400215e-06	8.35194901239873e-09
chr2	236731947	236732806	860	6	Open sea	Flanking Active TSS	Enhancers;Flanking Active TSS	AC011286.1	-0.0061	-0.00368333333333333	2.96081517339824e-09	3.95965532474243e-05	8.37819374666649e-09
chr6	157193530	157193845	316	2	Open sea	Weak transcription	Weak transcription	ARID1B	-0.0091	-0.0044	0.000389537918017566	8.08950399643542e-10	8.4332057289551e-09
chr6	134520532	134521447	916	4	Open sea	Quiescent/Low	Enhancers	RP11-557H15.3	-0.006	-0.005325	6.50300649185645e-09	1.00300393201606e-05	8.439065793519e-09
chr12	50088117	50088757	641	3	Shelf	Strong transcription	Genic enhancers	SMARCD1	-0.0053	-0.00266666666666667	6.86384919203709e-08	2.74419165814556e-06	8.4536940977449e-09
chr19	31356986	31357403	418	6	Shore;Island	Repressed PolyComb	Repressed PolyComb	AC007796.1	0.0053	0.00351666666666667	6.77467411642002e-09	0.000348222898904348	8.46904707194549e-09
chr22	45867326	45867953	628	5	Island;Shore	Flanking Bivalent TSS/Enh;Repressed PolyComb	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Repressed PolyComb		0.0088	0.00498	9.78204116981105e-09	9.83773952654699e-05	8.48918849897353e-09
chr8	750219	751365	1147	6	Shore;Shelf	Repressed PolyComb;Bivalent Enhancer;Weak Repressed PolyComb	Weak Repressed PolyComb	ERICH1-AS1	0.0053	0.00225	2.09162490009494e-06	4.57256542026121e-05	8.52251048257977e-09
chr19	1840411	1840461	51	2	Open sea	Genic enhancers	Enhancers	TCF3;LOC100288123;REXO1	0.0076	0.0064	5.2236542889779e-09	1.38886429763178e-06	8.55840003779049e-09
chr16	3651725	3653302	1578	9	Open sea	Weak transcription	Weak transcription;Enhancers	DNASE1;RP11-461A8.4;TRAP1	-0.0065	-0.000266666666666667	2.7861608406228e-06	0.000332380204384396	8.56304561182346e-09
chr2	239230637	239231406	770	3	Shore	Enhancers	Enhancers	HDAC4	-0.0082	-0.00513333333333333	2.73255608246624e-07	9.08444290601522e-06	8.65557240710633e-09
chr15	89802767	89802862	96	3	Open sea	Repressed PolyComb	Weak Repressed PolyComb	ANPEP	0.0049	0.00416666666666667	2.7370931108133e-09	5.43739387967507e-05	8.66585083143695e-09
chr5	35991279	35992153	875	7	Open sea	Active TSS;Quiescent/Low	Active TSS;Flanking Active TSS;Quiescent/Low	UGT3A1	-0.0098	-0.00277142857142857	2.16266171659006e-05	3.70958198264282e-06	8.69370748358621e-09
chr14	73721351	73721803	453	2	Shelf	Strong transcription	Genic enhancers	ELMSAN1	0.0078	0.00285	6.13713367157411e-07	4.92332792233469e-09	8.71229437804526e-09
chr2	85744424	85745468	1045	3	Open sea	Flanking Active TSS;Enhancers	Enhancers	USP39;ATOH8	0.0063	0.00513333333333333	1.84904218407374e-09	0.000139910993164886	8.71374094605284e-09
chr10	71737756	71738014	259	4	Open sea	Enhancers	Enhancers	CDH23	0.0056	0.00335	1.38331701598444e-05	1.7336075220119e-08	8.74927066454014e-09
chr21	45543533	45543672	140	4	Shore	Weak Repressed PolyComb	Weak Repressed PolyComb	SLC19A1	0.0053	0.00285	9.08797428501766e-06	1.9809647771672e-09	8.74944799321387e-09
chr14	22546419	22546714	296	2	Open sea	Enhancers	Enhancers	C14orf93;PRMT5;RBM23;MMP14;ABHD4;DAD1;TRAC;LOC105370399	0.0057	0.005	4.14969890099513e-09	3.24176968147885e-06	8.75188799761941e-09
chr19	11577430	11577895	466	6	Shore	Bivalent Enhancer	Weak Repressed PolyComb;Flanking Bivalent TSS/Enh	ZNF627;ACP5	-0.0044	0.000816666666666667	1.15608211442348e-07	1.32808273364362e-05	8.78299476838793e-09
chr5	42549313	42550039	727	5	Open sea	Weak transcription	Weak transcription	GHR	-0.0074	-0.00324	2.96814022003232e-06	3.99324838889102e-06	8.79310496837966e-09
chr21	36384098	36385584	1487	10	Shore;Island	Enhancers;Flanking Active TSS;Active TSS	Weak transcription;Enhancers;Flanking Active TSS;Active TSS	MORC3;CHAF1B	-0.0087	-0.00102	0.000116910112000629	5.16986727994478e-07	8.80095800541457e-09
chr8	142776658	142777891	1234	10	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	LYNX1	0.0059	0.00199	7.09306122459803e-05	2.90145707923883e-06	8.82508961263282e-09
chr7	142870961	142871299	339	2	Open sea	Weak Repressed PolyComb	Weak transcription	EPHB6;TRPV6	0.0055	0.00475	1.1115640365359e-08	2.86543960777082e-07	8.86403136566533e-09
chr19	18939140	18939754	615	4	Shore	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	AC005932.1;HOMER3	-0.0117	-0.004175	0.00252301741196833	4.42335454920197e-09	8.86596617707755e-09
chr3	73595100	73595234	135	2	Open sea	Weak transcription	Weak transcription	PDZRN3;RNU7-119P	-0.0082	-0.00795	8.89008407881045e-09	4.4182105373604e-07	8.89363948021523e-09
chr2	23690223	23691795	1573	11	Shore;Island	Weak transcription;Genic enhancers;Strong transcription	Weak transcription;Enhancers;Strong transcription	KLHL29	-0.008	-0.00265454545454545	3.05199858325365e-06	0.000138845442417948	8.9059364182498e-09
chr4	27002984	27003807	824	3	Open sea	Weak transcription	Weak transcription	STIM2	0.0065	0.00523333333333333	2.4199051637023e-09	3.99693205100279e-05	8.91651154822605e-09
chr16	28903912	28904499	588	4	Shelf	Strong transcription	Strong transcription	ATP2A1;RABEP2	-0.0068	-0.0035	1.87336913767702e-07	1.02790291941509e-06	8.91947077188925e-09
chr20	41027957	41028145	189	2	Shore	Weak Repressed PolyComb;Enhancers	Enhancers;Flanking Active TSS	TOP1	-0.0051	-0.0034	1.99907141226062e-06	2.80742998598808e-09	8.94310574823592e-09
chr14	99758153	99759016	864	3	Open sea	Weak transcription;Enhancers	Weak transcription	EML1	0.0075	0.0048	2.50344112787897e-07	1.13012764075702e-05	8.98600485695622e-09
chr17	83070172	83071085	914	6	Shore;Shelf	Repressed PolyComb	Weak Repressed PolyComb		0.0048	0.00311666666666667	6.67765536221414e-08	4.05458357033794e-05	8.99102561353103e-09
chr2	174025266	174026120	855	6	Shore;Island	Flanking Active TSS;Enhancers	Enhancers	RP11-394I13.1;SP3;ENSG00000273258	0.0046	0.0025	3.58083449030583e-08	6.52868487190598e-06	8.99128356165667e-09
